Field.Number,Year,Haul.1,Haul.2,Haul.3
SSSU-2011130611-101B,2011,1,,
SSSU-2011130611-102B,2011,0,0,0
SSSU-2011130611-103B,2011,1,,
SSSU-2011130611-201B,2011,1,,
SSSU-2011130611-202B,2011,0,0,0
SSSU-2011130611-203B,2011,1,,
SSSU-2011140611-101B,2011,0,0,0
SSSU-2011140611-102B,2011,0,0,0
SSSU-2011140611-103B,2011,1,,
SSSU-2011140611-201B,2011,0,0,0
SSSU-2011140611-202B,2011,1,,
SSSU-2011140611-203B,2011,0,0,0
SSSU-2011150611-101B,2011,0,0,0
SSSU-2011150611-102B,2011,0,0,0
SSSU-2011150611-103B,2011,1,,
SSSU-2011150611-201B,2011,0,0,0
SSSU-2011150611-202B,2011,1,,
SSSU-2011150611-203B,2011,1,,
SSSU-2011160611-101B,2011,1,,
SSSU-2011160611-102B,2011,0,0,0
SSSU-2011160611-103B,2011,0,0,0
SSSU-2011160611-201B,2011,0,0,1
SSSU-2011160611-202B,2011,0,0,0
SSSU-2011160611-203B,2011,1,,
2016-SSSU110716-101A,2016,0,0,0
2016-SSSU110716-102A,2016,0,0,0
2016-SSSU110716-103A,2016,0,0,0
2016-SSSU110716-104A,2016,0,0,0
2016-SSSU120716-101A,2016,0,0,0
2016-SSSU120716-102A,2016,0,0,0
2016-SSSU120716-103A,2016,1,,
2016-SSSU120716-104A,2016,1,,
2016-SSSU190716-101A,2016,0,0,0
2016-SSSU190716-102A,2016,0,0,1
2016-SSSU190716-103A,2016,0,0,0
2016-SSSU190716-104A,2016,1,,
2016-SSSU200716-101A,2016,1,,
2016-SSSU200716-102A,2016,0,0,0
2016-SSSU200716-103A,2016,0,0,0
2016-SSSU200716-104A,2016,1,,
2016-SSSU210716-101A,2016,0,0,0
2016-SSSU210716-102A,2016,0,0,0
2016-SSSU210716-103A,2016,0,0,0
2016-SSSU260716-101A,2016,0,0,0
2016-SSSU260716-102A,2016,1,,
2016-SSSU260716-103A,2016,1,,
